"date","state","positive"
"20200420","TS",873
"20200421","TS",873
"20200310","TR",0
"20200311","TR",0
"20200312","TR",0
"20200313","TR",0
"20200314","TR",0
"20200315","TR",0
"20200316","TR",0
"20200317","TR",0
"20200318","TR",0
"20200319","TR",0
"20200320","TR",0
"20200321","TR",0
"20200322","TR",0
"20200323","TR",0
"20200324","TR",0
"20200325","TR",0
"20200326","TR",0
"20200327","TR",0
"20200328","TR",0
"20200329","TR",0
"20200330","TR",0
"20200331","TR",0
"20200401","TR",0
"20200402","TR",0
"20200403","TR",0
"20200404","TR",0
"20200405","TR",0
"20200406","TR",0
"20200407","TR",1
"20200408","TR",1
"20200409","TR",1
"20200410","TR",1
"20200411","TR",2
"20200412","TR",2
"20200413","TR",2
"20200414","TR",2
"20200415","TR",2
"20200416","TR",2
"20200417","TR",2
"20200418","TR",2
"20200419","TR",2
"20200420","TR",2
"20200421","TR",2
"20200310","UP",9
"20200311","UP",9
"20200312","UP",11
"20200313","UP",11
"20200314","UP",12
"20200315","UP",13
"20200316","UP",13
"20200317","UP",15
"20200318","UP",16
"20200319","UP",19
"20200320","UP",23
"20200321","UP",24
"20200322","UP",27
"20200323","UP",31
"20200324","UP",33
"20200325","UP",37
"20200326","UP",41
"20200327","UP",41
"20200328","UP",55
"20200329","UP",65
"20200330","UP",82
"20200331","UP",101
"20200401","UP",103
"20200402","UP",113
"20200403","UP",172
"20200404","UP",174
"20200405","UP",227
"20200406","UP",305
"20200407","UP",305
"20200408","UP",343
"20200409","UP",410
"20200410","UP",431
"20200411","UP",433
"20200412","UP",452
"20200413","UP",483
"20200414","UP",657
"20200415","UP",735
"20200416","UP",773
"20200417","UP",846
"20200418","UP",969
"20200419","UP",1084
"20200420","UP",1176
"20200421","UP",1184
"20200310","UK",0
"20200311","UK",0
"20200312","UK",0
"20200313","UK",0
"20200314","UK",0
"20200315","UK",1
"20200316","UK",1
"20200317","UK",1
"20200318","UK",1
"20200319","UK",1
"20200320","UK",3
"20200321","UK",3
"20200322","UK",3
"20200323","UK",3
"20200324","UK",4
"20200325","UK",4
"20200326","UK",5
"20200327","UK",5
"20200328","UK",5
"20200329","UK",7
"20200330","UK",7
"20200331","UK",7
"20200401","UK",7
"20200402","UK",7
"20200403","UK",10
"20200404","UK",16
"20200405","UK",22
"20200406","UK",26
"20200407","UK",31
"20200408","UK",31
"20200409","UK",35
"20200410","UK",35
"20200411","UK",35
"20200412","UK",35
"20200413","UK",35
"20200414","UK",35
"20200415","UK",37
"20200416","UK",37
"20200417","UK",37
"20200418","UK",42
"20200419","UK",42
"20200420","UK",44
"20200421","UK",46
"20200310","WB",0
"20200311","WB",0
"20200312","WB",0
"20200313","WB",0
"20200314","WB",0
"20200315","WB",0
"20200316","WB",0
"20200317","WB",0
"20200318","WB",1
"20200319","WB",1
"20200320","WB",2
"20200321","WB",3
"20200322","WB",4
"20200323","WB",7
"20200324","WB",9
"20200325","WB",9
"20200326","WB",10
"20200327","WB",10
"20200328","WB",15
"20200329","WB",18
"20200330","WB",22
"20200331","WB",26
"20200401","WB",37
"20200402","WB",53
"20200403","WB",63
"20200404","WB",69
"20200405","WB",80
"20200406","WB",80
"20200407","WB",91
"20200408","WB",99
"20200409","WB",103
"20200410","WB",116
"20200411","WB",126
"20200412","WB",134
"20200413","WB",152
"20200414","WB",190
"20200415","WB",213
"20200416","WB",231
"20200417","WB",255
"20200418","WB",287
"20200419","WB",310
"20200420","WB",339
"20200421","WB",392
