"date","state","positive"
"20200331","CH",8
"20200401","CH",9
"20200402","CH",9
"20200403","CH",9
"20200404","CH",9
"20200405","CH",9
"20200406","CH",10
"20200407","CH",10
"20200408","CH",10
"20200409","CH",10
"20200410","CH",10
"20200411","CH",18
"20200412","CH",25
"20200413","CH",31
"20200414","CH",31
"20200415","CH",33
"20200416","CH",33
"20200417","CH",36
"20200418","CH",36
"20200419","CH",36
"20200420","CH",36
"20200421","CH",36
"20200310","DD",0
"20200311","DD",0
"20200312","DD",0
"20200313","DD",0
"20200314","DD",0
"20200315","DD",0
"20200316","DD",0
"20200317","DD",0
"20200318","DD",0
"20200319","DD",0
"20200320","DD",0
"20200321","DD",0
"20200322","DD",0
"20200323","DD",0
"20200324","DD",0
"20200325","DD",0
"20200326","DD",0
"20200327","DD",0
"20200328","DD",0
"20200329","DD",0
"20200330","DD",0
"20200331","DD",0
"20200401","DD",0
"20200402","DD",0
"20200403","DD",0
"20200404","DD",0
"20200405","DD",0
"20200406","DD",0
"20200407","DD",0
"20200408","DD",0
"20200409","DD",0
"20200410","DD",0
"20200411","DD",0
"20200412","DD",0
"20200413","DD",0
"20200414","DD",0
"20200415","DD",0
"20200416","DD",0
"20200417","DD",0
"20200418","DD",0
"20200419","DD",0
"20200420","DD",0
"20200421","DD",0
"20200310","DL",4
"20200311","DL",5
"20200312","DL",6
"20200313","DL",7
"20200314","DL",7
"20200315","DL",7
"20200316","DL",7
"20200317","DL",8
"20200318","DL",10
"20200319","DL",12
"20200320","DL",17
"20200321","DL",26
"20200322","DL",29
"20200323","DL",29
"20200324","DL",30
"20200325","DL",31
"20200326","DL",36
"20200327","DL",36
"20200328","DL",39
"20200329","DL",49
"20200330","DL",87
"20200331","DL",97
"20200401","DL",152
"20200402","DL",219
"20200403","DL",219
"20200404","DL",445
"20200405","DL",503
"20200406","DL",523
"20200407","DL",576
"20200408","DL",576
"20200409","DL",669
"20200410","DL",898
"20200411","DL",903
"20200412","DL",1069
"20200413","DL",1154
"20200414","DL",1510
"20200415","DL",1561
"20200416","DL",1578
"20200417","DL",1640
"20200418","DL",1707
"20200419","DL",1893
"20200420","DL",2003
"20200421","DL",2081
"20200310","GA",0
"20200311","GA",0
"20200312","GA",0
"20200313","GA",0
"20200314","GA",0
"20200315","GA",0
"20200316","GA",0
"20200317","GA",0
"20200318","GA",0
"20200319","GA",0
"20200320","GA",0
"20200321","GA",0
"20200322","GA",0
"20200323","GA",0
"20200324","GA",0
"20200325","GA",0
"20200326","GA",3
"20200327","GA",3
"20200328","GA",3
"20200329","GA",5
"20200330","GA",5
"20200331","GA",5
"20200401","GA",5
"20200402","GA",5
"20200403","GA",6
"20200404","GA",7
"20200405","GA",7
"20200406","GA",7
"20200407","GA",7
"20200408","GA",7
"20200409","GA",7
"20200410","GA",7
"20200411","GA",7
"20200412","GA",7
"20200413","GA",7
"20200414","GA",7
"20200415","GA",7
"20200416","GA",7
"20200417","GA",7
"20200418","GA",7
"20200419","GA",7
"20200420","GA",7
"20200421","GA",7
"20200310","GJ",0
"20200311","GJ",0
"20200312","GJ",0
"20200313","GJ",0
"20200314","GJ",0
"20200315","GJ",0
"20200316","GJ",0
"20200317","GJ",0
"20200318","GJ",0
"20200319","GJ",0
"20200320","GJ",5
"20200321","GJ",7
"20200322","GJ",18
"20200323","GJ",29
"20200324","GJ",33
"20200325","GJ",38
"20200326","GJ",43
"20200327","GJ",43
"20200328","GJ",45
"20200329","GJ",58
"20200330","GJ",69
"20200331","GJ",73
"20200401","GJ",82
"20200402","GJ",87
"20200403","GJ",95
"20200404","GJ",105
"20200405","GJ",122
"20200406","GJ",144
"20200407","GJ",165
"20200408","GJ",165
"20200409","GJ",179
"20200410","GJ",241
"20200411","GJ",308
"20200412","GJ",432
"20200413","GJ",539
"20200414","GJ",617
"20200415","GJ",695
"20200416","GJ",871
"20200417","GJ",1021
"20200418","GJ",1272
"20200419","GJ",1604
"20200420","GJ",1851
"20200421","GJ",1939
"20200310","HR",14
"20200311","HR",14
"20200312","HR",14
"20200313","HR",14
"20200314","HR",14
"20200315","HR",14
"20200316","HR",14
"20200317","HR",15
"20200318","HR",17
"20200319","HR",17
"20200320","HR",17
"20200321","HR",17
"20200322","HR",21
"20200323","HR",26
"20200324","HR",28
"20200325","HR",28
"20200326","HR",30
"20200327","HR",30
"20200328","HR",33
"20200329","HR",33
"20200330","HR",36
"20200331","HR",40
"20200401","HR",43
"20200402","HR",43
"20200403","HR",49
"20200404","HR",49
"20200405","HR",59
"20200406","HR",84
"20200407","HR",90
"20200408","HR",147
"20200409","HR",169
"20200410","HR",169
"20200411","HR",177
"20200412","HR",185
"20200413","HR",185
"20200414","HR",199
"20200415","HR",199
"20200416","HR",205
"20200417","HR",205
"20200418","HR",225
"20200419","HR",233
"20200420","HR",233
"20200421","HR",254
"20200310","HP",0
"20200311","HP",0
"20200312","HP",0
"20200313","HP",0
"20200314","HP",0
"20200315","HP",0
"20200316","HP",0
"20200317","HP",0
"20200318","HP",0
"20200319","HP",0
"20200320","HP",0
"20200321","HP",2
"20200322","HP",2
"20200323","HP",2
"20200324","HP",3
"20200325","HP",3
"20200326","HP",3
"20200327","HP",3
"20200328","HP",3
"20200329","HP",3
"20200330","HP",3
"20200331","HP",3
"20200401","HP",3
"20200402","HP",3
"20200403","HP",6
"20200404","HP",6
"20200405","HP",6
"20200406","HP",13
"20200407","HP",13
"20200408","HP",18
"20200409","HP",18
"20200410","HP",28
"20200411","HP",28
"20200412","HP",32
"20200413","HP",32
"20200414","HP",32
"20200415","HP",33
"20200416","HP",35
"20200417","HP",35
"20200418","HP",38
"20200419","HP",39
"20200420","HP",39
"20200421","HP",39
"20200310","JK",1
"20200311","JK",1
"20200312","JK",1
"20200313","JK",1
"20200314","JK",2
"20200315","JK",2
"20200316","JK",3
"20200317","JK",3
"20200318","JK",3
"20200319","JK",4
"20200320","JK",4
"20200321","JK",4
"20200322","JK",4
"20200323","JK",4
"20200324","JK",4
"20200325","JK",7
"20200326","JK",13
"20200327","JK",13
"20200328","JK",20
"20200329","JK",31
"20200330","JK",48
"20200331","JK",54
"20200401","JK",62
"20200402","JK",62
"20200403","JK",75
"20200404","JK",75
"20200405","JK",106
"20200406","JK",109
"20200407","JK",116
"20200408","JK",116
"20200409","JK",158
"20200410","JK",184
"20200411","JK",207
"20200412","JK",224
"20200413","JK",245
"20200414","JK",270
"20200415","JK",278
"20200416","JK",300
"20200417","JK",314
"20200418","JK",328
"20200419","JK",341
"20200420","JK",350
"20200421","JK",368
"20200310","JH",0
"20200311","JH",0
"20200312","JH",0
"20200313","JH",0
"20200314","JH",0
"20200315","JH",0
"20200316","JH",0
"20200317","JH",0
"20200318","JH",0
"20200319","JH",0
"20200320","JH",0
"20200321","JH",0
"20200322","JH",0
"20200323","JH",0
"20200324","JH",0
"20200325","JH",0
"20200326","JH",0
"20200327","JH",0
"20200328","JH",0
"20200329","JH",0
"20200330","JH",0
"20200331","JH",0
"20200401","JH",1
"20200402","JH",1
"20200403","JH",2
"20200404","JH",2
"20200405","JH",3
"20200406","JH",4
"20200407","JH",4
"20200408","JH",4
"20200409","JH",13
"20200410","JH",13
"20200411","JH",17
"20200412","JH",17
"20200413","JH",19
"20200414","JH",24
"20200415","JH",27
"20200416","JH",28
"20200417","JH",29
"20200418","JH",33
"20200419","JH",35
"20200420","JH",42
"20200421","JH",46
"20200310","KA",1
"20200311","KA",4
"20200312","KA",4
"20200313","KA",6
"20200314","KA",6
"20200315","KA",6
"20200316","KA",6
"20200317","KA",11
"20200318","KA",11
"20200319","KA",14
"20200320","KA",15
"20200321","KA",15
"20200322","KA",26
"20200323","KA",33
"20200324","KA",37
"20200325","KA",41
"20200326","KA",55
"20200327","KA",55
"20200328","KA",55
"20200329","KA",76
"20200330","KA",83
"20200331","KA",83
"20200401","KA",101
"20200402","KA",110
"20200403","KA",124
"20200404","KA",128
"20200405","KA",144
"20200406","KA",151
"20200407","KA",175
"20200408","KA",175
"20200409","KA",181
"20200410","KA",197
"20200411","KA",214
"20200412","KA",226
"20200413","KA",247
"20200414","KA",258
"20200415","KA",277
"20200416","KA",315
"20200417","KA",353
"20200418","KA",371
"20200419","KA",384
"20200420","KA",395
"20200421","KA",408
"20200310","KL",9
"20200311","KL",17
"20200312","KL",17
"20200313","KL",19
"20200314","KL",19
"20200315","KL",22
"20200316","KL",23
"20200317","KL",26
"20200318","KL",27
"20200319","KL",27
"20200320","KL",28
"20200321","KL",40
"20200322","KL",52
"20200323","KL",67
"20200324","KL",95
"20200325","KL",109
"20200326","KL",118
"20200327","KL",137
"20200328","KL",176
"20200329","KL",182
"20200330","KL",202
"20200331","KL",234
"20200401","KL",241
"20200402","KL",265
"20200403","KL",286
"20200404","KL",295
"20200405","KL",306
"20200406","KL",314
"20200407","KL",327
"20200408","KL",336
"20200409","KL",345
"20200410","KL",357
"20200411","KL",364
"20200412","KL",374
"20200413","KL",376
"20200414","KL",379
"20200415","KL",387
"20200416","KL",388
"20200417","KL",395
"20200418","KL",396
"20200419","KL",400
"20200420","KL",402
"20200421","KL",408
"20200310","LD",2
"20200311","LD",2
"20200312","LD",3
"20200313","LD",3
"20200314","LD",3
"20200315","LD",3
"20200316","LD",4
"20200317","LD",6
"20200318","LD",8
"20200319","LD",8
"20200320","LD",10
"20200321","LD",13
"20200322","LD",13
"20200323","LD",13
"20200324","LD",13
"20200325","LD",13
"20200326","LD",13
"20200327","LD",13
"20200328","LD",13
"20200329","LD",13
"20200330","LD",13
"20200331","LD",13
"20200401","LD",13
"20200402","LD",13
"20200403","LD",14
"20200404","LD",14
"20200405","LD",14
"20200406","LD",14
"20200407","LD",14
"20200408","LD",14
"20200409","LD",14
"20200410","LD",15
"20200411","LD",15
"20200412","LD",15
"20200413","LD",15
"20200414","LD",15
"20200415","LD",17
"20200416","LD",17
"20200417","LD",18
"20200418","LD",18
"20200419","LD",18
"20200420","LD",18
"20200421","LD",18
"20200310","LW",0
"20200311","LW",0
"20200312","LW",0
"20200313","LW",0
"20200314","LW",0
"20200315","LW",0
"20200316","LW",0
"20200317","LW",0
"20200318","LW",0
"20200319","LW",0
"20200320","LW",0
"20200321","LW",0
"20200322","LW",0
"20200323","LW",0
"20200324","LW",0
"20200325","LW",0
"20200326","LW",0
"20200327","LW",0
"20200328","LW",0
"20200329","LW",0
"20200330","LW",0
"20200331","LW",0
"20200401","LW",0
"20200402","LW",0
"20200403","LW",0
"20200404","LW",0
"20200405","LW",0
"20200406","LW",0
"20200407","LW",0
"20200408","LW",0
"20200409","LW",0
"20200410","LW",0
"20200411","LW",0
"20200412","LW",0
"20200413","LW",0
"20200414","LW",0
"20200415","LW",0
"20200416","LW",0
"20200417","LW",0
"20200418","LW",0
"20200419","LW",0
"20200420","LW",0
"20200421","LW",0
"20200310","MP",0
"20200311","MP",0
"20200312","MP",0
"20200313","MP",0
"20200314","MP",0
"20200315","MP",0
"20200316","MP",0
"20200317","MP",0
"20200318","MP",0
"20200319","MP",0
"20200320","MP",0
"20200321","MP",4
"20200322","MP",4
"20200323","MP",6
"20200324","MP",7
"20200325","MP",14
"20200326","MP",20
"20200327","MP",20
"20200328","MP",30
"20200329","MP",30
"20200330","MP",47
"20200331","MP",47
"20200401","MP",66
"20200402","MP",99
"20200403","MP",104
"20200404","MP",104
"20200405","MP",165
"20200406","MP",165
"20200407","MP",229
"20200408","MP",229
"20200409","MP",259
"20200410","MP",259
"20200411","MP",443
"20200412","MP",564
"20200413","MP",604
"20200414","MP",730
"20200415","MP",987
"20200416","MP",1120
"20200417","MP",1308
"20200418","MP",1355
"20200419","MP",1407
"20200420","MP",1485
"20200421","MP",1485
"20200310","MH",2
"20200311","MH",2
"20200312","MH",11
"20200313","MH",14
"20200314","MH",14
"20200315","MH",32
